order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	severity	chapter_theme	chapter	vagga	rule_theme	rule_topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas	sangha_acts	useful_texts	suttacentral
30.0	BU-NP11	Vin.3.1–3.40	Monks		Kosiya	Blanket Silk	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Blanket	Easy to support	Laity	Yo pana bhikkhu kosiyamissakaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have a rug mixed with silk made, [this is a case] involving expiation with forfeiture	If he makes a canopy or a ground-covering9 or a screen-wall or a mattress or a squatting mat; if he is mad, if he is the first wrong-doer	1) Object: a felt blanket/rug containing silk threads and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself)	Santhata, translated here as a felt blanket/rug, is a type of cloth described in the texts simply by its method of manufacture. Instead of being woven, it is made by strewing threads over a smooth surface, sprinkling them with a glue-like mixture made from boiled rice, using a roller to roll it smooth, and then repeating the process until the felt is thick and strong enough for one's purpose	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth		Bu-Np11 - Bu-Np14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
31.0	BU-NP12	Vin.3.1–3.40	Monks		Suddhakāla	Blanket Black	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Blanket	Differ from laity	Laity	Yo pana bhikkhu suddhakāḷakānaṃ eḷakalomānaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have a rug made of pure black sheep’s wool; [this is a case] involving expiation with forfeiture	If he makes it taking a tulā weight of white, a tulā weight of reddish brown colours; if he makes it taking more of white, more of reddish brown colours; if he makes it taking only of white, only of reddish brown colours; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer	1) Object: a felt blanket made entirely of black wool and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself)	Recurrent theme throughout the Vinaya: that stylish, luxurious, or elegant articles are not in keeping with the bhikkhus' way of life	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth		Bu-Np11 - Bu-Np14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
32.0	BU-NP13	Vin.3.1–3.40	Monks		Dvebhāga	Blanket of Mixed Colors	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Blanket	Differ from laity	Laity	Navaṃ pana bhikkhunā santhataṃ kārayamānena dve bhāgā suddhakāḷakānaṃ eḷakalomānaṃ ādātabbā, tatiyaṃ odātānaṃ, catutthaṃ gocariyānaṃ. anādā ce bhikkhu dve bhāge suddhakāḷakānaṃ eḷakalomānaṃ, tatiyaṃ odātānaṃ, catutthaṃ gocariyānaṃ, navaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	By a bhikkhu who is having a new rug made, two parts of pure black sheep’s wool are to be taken, [and] a third [part] of white, a fourth [part] of ruddy brown. If a bhikkhu should have a rug made, without having taken two parts of pure black sheep’s wool, [and] a third [part] of white, a fourth [part] of ruddy brown, [this is a case] involving relinquishing with confession	If he makes it taking a tulā weight of white, a tulā weight of reddish brown colours; if he makes it taking more of white, more of reddish brown colours; if he makes it taking only of white, only of reddish brown colours; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer	1) Object: a felt blanket made of black wool more than half the total amount of wool used and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself)	The important point is that the rug be no more than one-half black wool. As in the preceding rules, making a felt blanket/rug that is more than one-half black wool for another person's use entails a dukkaṭa	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth		Bu-Np11 - Bu-Np14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
33.0	BU-NP14	Vin.3.1–3.40	Monks		Chabbassa	Blanket Kept for 6 Years	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Blanket	Easy to support	Laity	Navaṃ pana bhikkhunā santhataṃ kārāpetvā chabbassāni dhāretabbaṃ, orena ce channaṃ vassānaṃ taṃ santhataṃ vissajjetvā vā avissajjetvā vā aññaṃ navaṃ santhataṃ kārāpeyya aññatra bhikkhusammutiyā, nissaggiyaṃ pācittiyaṃ	By a bhikkhu who has had a new rug made, it is to be kept for six years [at least]. If within less than six years, having given up or not having given up that rug, he should have another new rug made, except with the authorisation of bhikkhus, [this is a case] involving relinquishing and confession	If he makes one after six years; if he makes one after more than six years; if he makes it or causes it to be made for another; if, acquiring what was made for another, he makes use of it; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat6; if there is the agreement of the monks; if he is mad, if he is the first wrong-doer	1) Object: a new felt blanket/rug for one's own use. 2) Effort: One makes it or has it made less than six years after one's last one was made, even though one has not been formally authorized by the bhikkhus to do so. 3) Result: One acquires the rug when it is finished	The authorization by the bhikkhus is best explained by noting that there is no exemption under this rule for a bhikkhu whose felt rug/blanket is snatched away, lost, or destroyed. If the Community are satisfied that he did not intentionally lose it, destroy it, or put it in a place where it might easily get stolen — can give him the authorization to get a new one made			Bu-Np11 - Bu-Np14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
34.0	BU-NP15	Vin.3.1–3.40	Monks		Nisīdanasanthata	Sitting Blanket	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Requisites	Blanket	Easy to support	Buddha Rule	Nisīdanasanthataṃ pana bhikkhunā kārayamānena purāṇasanthatassa sāmantā sugatavidatthi ādātabbā dubbaṇṇakaraṇāya. anādā ce bhikkhu purāṇasantha tassa sāmantā sugatavidatthiṃ, navaṃ nisīdanasanthataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	By a bhikkhu who is having a sitting-rug made, a sugata-span from the border of an old rug is to be taken for making [it] stained. If a bhikkhu, without having taken a sugata-span from the border of an old rug, should have a new sitting rug made, [this is a case] involving expiation with forfeiture	He makes it having taken (a piece) the breadth of the accepted span from all round an old rug; if, failing to get it, he makes it having taken a smaller (piece); if, failing to get it, he makes it not having taken (any portion); if acquiring what was made for another, he makes use of it; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer	1) Object: a felt sitting rug made, a piece of old felt a sugata span (25 cm.) on each side is to be incorporated for the sake of discoloring it 2) Effort: One makes it or has it made	A sitting cloth — for protecting his robes from getting soiled by any place where he sits down, and for protecting any place where he sits down from being soiled by him. if he goes without one for more than four months he incurs a dukkaṭa (Cv 5 18. One ofthe purposes in formulating this rule was to teach bhikkhus how to make good use of old, used requisites so as to maintain the good faith of those who donated them			Bu Pj 89AN 7.19, DN 16, Mv 8 16.1-3	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
35.0	BU-NP16	Vin.3.1–3.40	Monks		Eḷakaloma	Carrying Wool	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Wool	Differ from laity	Bhikkhus	Bhikkhuno paneva addhānamaggappaṭipannassa eḷakalomāni uppajjeyyuṃ, ākaṅkhamānena bhikkhunā paṭiggahetabbāni, paṭiggahetvā tiyojanaparamaṃ sahatthā haritabbāni asante hārake. tato ce uttari hareyya, asantepi hārake, nissaggiyaṃ pācittiyaṃ	Now, if sheep’s wool should become available to a bhikkhu who is travelling on a main road, by a bhikkhu who is wishing [so, it] can be accepted, having accepted [it, it] can be carried with his own hand for three yojanas at the most when there is no one present who can carry it; if he should carry it further than that, even when there is no one present who can carry it, [this is a case] involving relinquishment and confession	When someone else carries the wool for him, When he is unable to find a suitable place to stay within 3 yojanas and so he carries the wool further, looking for such a place. When, having lost possession of that wool, it is later returned to him and he carries it up to another 3 yojana	1 Object. Wool, under this rule, refers to wool that has not been made into goods. 2 Effort includes not only carrying unmade wool more than three leagues (48 km.=30 miles) oneself, but also placing it in a bundle or vehicle belonging to someone else without his/her knowing about it, and then letting him/her take it more than three leagues. 3 Intention. to carry wool past the three-league mark for motives other than looking for a place to stay	1 yojana is around 10 miles or 16 kilometres				https://suttacentral.net/pli-tv-bu-vb-np?view=normal
36.0	BU-NP17	Vin.3.1–3.40	Monks		Eḷakalomadhovāpana	Bhikkhuni Made to Wash Wool	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Wool	Easy to support	Bhikkhunis	Yo pana bhikkhu aññātikāya bhikkhuniyā eḷakalomāni dhovāpeyya vā rajāpeyya vā vijaṭāpeyya vā, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have sheep’s wool washed, dyed, or carded by an unrelated bhikkhunī, [this is a case] involving expiation with forfeiture	When she washes or dyes or combs the wool on her own initiative. bhikkhu who gets a bhikkhunī unrelated to him to wash woolen cloth or yarn that has not yet been used	1 Object. wool that has not been made into cloth or yarn. 2 Effort. One tells an unrelated bhikkhunī to wash, dye, or beat the wool. 3 Result. The bhikkhunī washes, dyes, or beats the robe as requested	The reason because the bhikkhunīs, washing, dyeing, and carding wool, neglect the training			Bu Np 4	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
37.0	BU-NP18	Vin.3.1–3.40	Monks	BNI-NP21	Rūpiya	Money	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Money	Self restraint	Laity	Yo pana bhikkhu jātarūparajataṃ uggaṇheyya vā uggaṇhāpeyya vā upanikkhittaṃ vā sādiyeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should take gold and silver, or should have [it] taken, or should consent to [it] being deposited [for him], [this is a case] involving relinquishment and confession	Finding gold or money lying around the monastery or in a house he is visiting, puts it away in safe keeping for the owner	1) Object: gold or silver intended for one.. Or whatever is used as a currency = (1) They are a generally accepted medium of exchange; (2) they are of standard recognized value; and (3) they are presentable by any bearer 2) Effort: One accepts, having it accepted, or consenting to its being deposited	By accepting money,one is accepting all the cares, responsibilities, and dangers that come with its ownership. Relinquish to Sangha and not to be returned or benefit the offender, but used by Sangha through lay follower or thrown away by a selected bhikkhu . Whether the bhikkhu accepts gold or money for himself or for others is thus not an issue here. Anything that falls short of a command, though, would not fulfill this factor. It can be refuse either in thought, word, or deed. if the donor does not mention the name of the bhikkhu or the Community as custodians or recipients of the funds, the donations are not to be refused. Rather, they are to be left there and the steward told of what the donor said	Ahaṁ bhante rūpiyaṁ paṭiggahesiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ saṅghassa nissajjāmi. This means, “Venerable sirs, I have received money. This of mine is to be forfeited. I forfeit it to the Community.”		SN42.10, AN4.50, Bu Np 10, 18, 19, 20 BU-PC84,	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
38.0	BU-NP19	Vin.3.1–3.40	Monks	BNI-NP22	Rūpiyasaṁvohāra	Trading With Money	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Money	Self restraint	Laity	Yo pana bhikkhu nānappakārakaṃ rūpiyasaṃvohāraṃ samāpajjeyya, nissaggiyaṃ pācittiyaṃ	If a monk engages in various kinds of trades involving money, he commits an offense entailing relinquishment and confession	If he is mad, if he is the first wrong-doer	1) Object, money is any type of items used as currency. 2) Effort here includes any exchange in which the bhikkhu ends up with gold or money as a result of the exchange	By arranging a trade, one is accepting responsibility for the fairness of the trade. Relinquish to Sangha and not to be returned or benefit the offender, but used by Sangha through lay follower or thrown away by a selected bhikkhu. bhikkhu may not express a desire to his steward that he/she sell something belonging to him or take funds dedicated for his use and invest them for monetary return. Money obtained improperly, the object bought with the money is unallowable for all bhikkhus. But if obtained obtained properly under the preceding rule, the item bought is unallowable only for the bhikkhu buyer, and allowed to the rest	Ahaṁ bhante nānappakārakaṁ rūpiya-saṁvohāraṁ samāpajjiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ saṅghassa nissajjāmi. This means, “Venerable sirs, I have engaged in various types of monetary exchange. This of mine is to be forfeited. I forfeit it to the Community.”		SN42.10, AN4.50, Bu Np 10, 18, 19, 20 BU-PC84,	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
39.0	BU-NP20	Vin.3.1–3.40	Monks	BNI-NP23	Kayavikkaya	Bartering	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Silk	Kosiyavagga	Properties	Trade	Self restraint	Ascetics	Yo pana bhikkhu nānappakārakaṃ kayavikkayaṃ samāpajjeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should engage in the various kinds of trading, [this is a case] involving expiation with forfeiture	"If he asks the price of an object; if he tells a steward; if he tells the seller, “I have this. I have need of such-and-such"", and then lets the seller arrange the exchange as he/she sees fit. if he is mad, if he is the first wrong-doer"	1 Object. All types of trade not covered in previous rule. 2 Effort. Engaging in trade by proposing and ones goods ending up with the other person, and the other person’s goods ending up with the bhikkhu	Any transaction in which the end product is other than gold or money, i.e. buying as well as bartering the forfeited article should be returned to the original offender not to return the article would be a dukkata. No exemptions for a bhikkhu who trades using goods belonging to someone else. The Vibhaṅga makes no mention of what the bhikkhu may and may not do with the article after receiving it in return, but commentary have protocols. Present rule thus covers trades made only with not one’s co-religionists. bhikkhus should not bargain, if he sees that the steward is getting a bad deal, he may simply tell the steward, “Don’t take it Checks, credit cards, debit cards, and traveler’s checks do not count as gold or money. However, any trade arranged with them would come under this rule	Ahaṁ bhante nānappakārakaṁ kaya-vikkayaṁ samāpajjiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “Venerable sir, I have engaged in various types of trade. This of mine is to be forfeited. I forfeit it to you.” To return the article: Imaṁ āyasmato dammi, which means, “I give this to you.”		SN42.10, AN4.50, Bu Np 5 10, 18, 19, 20 BU-PC84, Misuse donations Mv 8 22.1; BMC2, Chapter 10	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
40.0	BU-NP21	Vin.3.1–3.40	Monks		Patta	Bowl Extra	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Bowl	Easy to support	Laity	"Ayaṃ te bhikkhu patto yāva bhedanāya dhāretabbo""ti, ayaṃ tattha sāmīci"	A monk should keep an extra almsbowl for ten days at the most. If he keeps it longer than that, he commits an offense entailing relinquishment and confession	If within ten days it is allotted, assigned, bestowed, lost, destroyed, broken, if they tear it from him, if they take it on trust; if he is mad, if he is the first wrong-doer	1) Object: an alms bowl fit to be determined for use. 2) Effort: One keeps it for more than ten days without determining it for use, placing it under shared ownership, abandoning it (giving or throwing it away); and without its being lost, destroyed, burnt, snatched away, or taken by someone else on trust within that time	Should be given back after relinquish and confess. bowl fit to be determined for use must be— 1) made of the proper material; 2) the proper size; 3) fully paid for; 4) properly fired; and 5) not damaged beyond repair	Ayaṁ me bhante patto dasāhātikkanto nissaggiyo. Imāhaṁ āyasmato nissajjāmi, which means, “This bowl of mine, venerable sir, kept beyond ten days, is to be forfeited. I forfeit it to you.”		BU-PC22, Bowl material Cv 5 8.2 allow and Cv 5 9.1 forbids	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
41.0	BU-NP22	Vin.3.1–3.40	Monks	BNI-NP24	Ūnapañcabandhana	Bowl With Fewer Than 5 Mends	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Bowl	Easy to support	Laity	Yo pana bhikkhu ūnapañcabandhanena pattena aññaṁ navaṁ pattaṁ cetāpeyya, nissaggiyaṁ pācittiyaṁ. Tena bhikkhunā so patto bhikkhuparisāya nissajjitabbo. Yo ca tassā bhikkhuparisāya pattapariyanto so tassa bhikkhuno padātabbo— ‘ayaṁ te, bhikkhu, patto yāva bhedanāya dhāretabbo’ti. Ayaṁ tattha sāmīcī	If a monk exchanges an almsbowl with fewer than five mends for a new almsbowl, he commits an offense entailing relinquishment and confession. That monk should relinquish that almsbowl to a gathering of monks. He should then be given the last almsbowl belonging to that gathering: “Monk, this bowl is yours. Keep it until it breaks.” This is the proper procedure	If the bowl is destroyed, if the bowl is broken, if they belong to relations, if they are invited, if it is for another, if it is by means of his own property; if he is mad, if he is the first wrong-doer	1) Effort: Before one’s alms bowl is beyond repair, one asks for 2) Object: a new almsbowl fit to be determined for use. 3) Result: One obtains the bowl	Relinquish to Sangha according to procedure. this rule allows a bhikkhu whose bowl is beyond repair to ask for a new one. Community chooses one of its members as bowl exchanger. If the new bowl is preferable to one's own and yet one do not take it out of sympathy for the offender, is a dukkaṭa, but for contentment with what he has, no offense	Ayaṁ me bhante patto ūna-pañca-bandhanena pattena cetāpito nissaggiyo. Imāhaṁ saṅghassa nissajjāmi. This means, “This bowl of mine, venerable sirs, asked for when the (previous) bowl had less than five mends, is to be forfeited. I forfeit it to the Community.”	Motion-1announcement	BU-PC21, wrong use of bowl BMC2, Chapter 3	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
42.0	BU-NP23	Vin.3.1–3.40	Monks	BNI-NP25	Bhesajja	Tonics Five	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Food	Tonics	Easy to support	Laity	Yāni kho pana tāni gilānānaṃ bhikkhūnaṃ paṭisāyanīyāni bhesajjāni, seyyathidaṃ – sappi navanītaṃ telaṃ madhu phāṇitaṃ, tāni paṭiggahetvā sattāhaparamaṃ sannidhikārakaṃ paribhuñjitabbāni, taṃ atikkāmayato nissaggiyaṃ pācittiyaṃ	After being received, the tonics allowable for sick monks—that is, ghee, butter, oil, honey, and syrup— should be used from storage for at most seven days. If one uses them longer than that, one commits an offense entailing relinquishment and confession	If within seven days the tonic gets lost, destroyed, burnt, snatched away, or taken on trust; or if the bhikkhu determines it for use, abandons it, or—having given it away to an unordained person, abandoning desire for it—he receives it in return and makes use of it if he is mad, if he is the first wrong-doer	1) Object: any of the five tonics. 2) Effort: One keeps the tonic past the seventh dawnrise after receiving it	Acquiring something that has been forfeited,it must not be made use of for bodily enjoyment nor consumed. any tonic received today may be eaten mixed with food or juice drinks received today, but not with food or juice drinks received on a later day. one may take the tonic at any time during those seven days regardless of whether one is ill	Idaṁ me bhante bhesajjaṁ sattāhātikkantaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This medicine of mine, venerable sir, kept beyond seven days, is to be forfeited. I forfeit it to		Mv 6 1.2-5, Mv 6 40.1-3, Mv 6 27, Bu Pj 37-38	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
43.0	BU-NP24	Vin.3.1–3.40	Monks		Vassikasāṭika	Robes Rainy Season	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Robes	Self restraint	Bhikkhus	"Māso seso gimhāna""nti bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, ""addhamāso seso gimhāna""nti katvā nivāsetabbaṃ. orena ce ""māso seso gimhāna""nti vassikasāṭikacīvaraṃ pariyeseyya, orena""ddhamāso seso gimhāna""nti katvā nivāseyya, nissaggiyaṃ pācittiyaṃ"	When there is a month left of the hot season, a monk may go looking for cloth for his rainy-season robe. When there is a half-month left, he may sew it and then wear it. If he goes looking for cloth for his rainy-season robe when there is more than a month left of the hot season, or if he sews it and then wears it when there is more than a half-month left, he commits an offense entailing relinquishment and confession.’	If he goes looking for cloth for the rainy-season robe when there is a month left of the hot season; if he wears the rainy-season robe after sewing it when there is a half-month left of the hot season; if he goes looking for cloth for the rainy-season robe when there is less than a month left of the hot season; if he wears the rainy-season robe after sewing it when there is less than a half-month left of the hot season; if, after looking for a rainy-season robe, he postpones the rainy-season residence; if, after wearing a rainy-season robe, he postpones the rainy-season residence (in which case he should wash it and store it and then use it at the right time); if his robe has been stolen; if his robe has been lost; if there is an emergency; if he is insane; if he is the first offender	Seeking 1 object. The bhikkhu is looking for material for a rains-bathing cloth, 2 Effort. He makes hints to people during the time he is not allowed to make hints 3 Result. He receives the cloth. Using 1 object. he has a rains-bathing cloth 2 effort. he has other robes to use, there are no dangers, and yet he wears the cloth during the period when he is not allowed to wear it	Dukkata for bathing naked in the rain when one possesses a rains-cloth. Not offence if bathing naked in lake or rivers. Seeking starts 1st full moon in July, to give hints to people who have never provided rains-bathing cloths in the past, is dukkata. At the end of the vassa he is to wash his cloth, place it under shared ownership, and put it aside if it is still usable. Nowadays most bhikkhus—if they use a bathing cloth—tend to determine it for use as a “requisite cloth” so as to avoid any possible offense under this rule			Mv 8.15.1-15, Mv 8 20.2, Pc 91	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
44.0	BU-NP25	Vin.3.1–3.40	Monks	BNI-NP26	Cīvaraacchindana	Robe-Cloth Taking Back	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Robes	Sangha harmony	Bhikkhus	Yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā kupito anattamano acchindeyya vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ	If a monk himself gives a robe to a monk, but then, in anger, takes it back or has it taken back, he commits an offense entailing relinquishment and confession	If he gives it or takes (from him) in a friendly manner; if he is mad, if he is the first wrong-doer	1 Object: A piece of any of the six allowable kinds of robe-cloth, measuring at least four by eight fingerbreadths. 2 Effort: One has given the cloth to another bhikkhu on one condition or another and then either snatches it back or has someone else snatch it back. 3 Intention: One is impelled by anger or displeasure	This rule is for cases where one perceives the robe-cloth as being rightfully one’s own even after having given it away. But when not out of anger or annoyance, but ‘with the mind of a thief’ (theyya-citta) then is Pj 2. dukkaṭa for angrily snatching back from a bhikkhu requisites other than cloth; and for angrily snatching back any kind of requisite—cloth or otherwise—that one has given to someone who is not a bhikkhu	Idaṁ me bhante cīvaraṁ bhikkhussa sāmaṁ datvā acchinnaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe (robe-cloth) of mine, venerable sir, snatched back after I myself gave it to a bhikkhu, is to be forfeited. I forfeit it to you.”			https://suttacentral.net/pli-tv-bu-vb-np?view=normal
45.0	BU-NP26	Vin.3.1–3.40	Monks	BNI-NP27	Suttaviññatti	Thread Asking	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Sewing	Easy to support	Laity	Yo pana bhikkhu sāmaṃ suttaṃ viññāpetvā tantavāyehi cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ	If a monk himself asks for thread, and then has weavers weave him robe-cloth, he commits an offense entailing relinquishment and confession	Is no offence to sew a robe to a binding, to a belt, to a shoulder-strap, to a bag for carrying the bowl in, to a water-strainer; if it belongs to relations; if they are invited; if it is for another; if it is by means of his own property; if he is mad, if he is the first wrong-doer	1 Object: Thread or yarn of the six allowable types for robe-cloth that a bhikkhu has himself requested from others. 2 Effort: One gets weavers to weave robe-cloth using the thread. 3 Result: One obtains the cloth	This rule covers two actions—asking for thread and getting weavers to weave it into robe-cloth			Bu Np 11-15 and Pc 86-92: no offense for the request itself, but a dukkaṭa if the request successfully persuades the other person to act in line with it	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
46.0	BU-NP27	Vin.3.1–3.40	Monks	BNI-NP28	Mahāpesakāra	Bribing Weavers	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Robes	Easy to support	Laity	"Bhikkhuṃ paneva uddissa aññātako gahapati vā gahapatānī vā tantavāyehi cīvaraṃ vāyāpeyya, tatra ce so bhikkhu pubbe appavārito tantavāye upasaṅkamitvā cīvare vikappaṃ āpajjeyya ""idaṃ kho, āvuso, cīvaraṃ maṃ uddissa viyyati, āyatañca karotha, vitthatañca, appitañca, suvītañca, suppavāyitañca, suvilekhitañca, suvitacchitañca karotha, appeva nāma mayampi āyasmantānaṃ kiñcimattaṃ anupadajjeyyāmā""ti. evañca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso piṇḍapātamattampi, nissaggiyaṃ pācittiyaṃ"	‘If a male or female householder is having robe-cloth woven by weavers for an unrelated monk and, without first being invited, that monk goes to those weavers and specifies the kind of robe-cloth he wants, saying, ‘This robe-cloth that you are weaving for me, make it long and wide; make it closely woven, well-woven, well-stretched, well-scraped, and well-combed, and perhaps I will even give you a small gift,’ then, in saying that and afterwards giving them a small gift, even a bit of almsfood, he commits an offense entailing relinquishment and confession	If it belongs to relations; if they are invited; if it is for another; if it is by means of his own property; if desirous of having costly (robe-material) woven he has (robe-material) costing little woven; if he is mad, if he is the first wrong-doer	1 Object: A piece of any of the six allowable types of robe-cloth, measuring at least four by eight fingerbreadths, which is being made for one’s sake by the arrangement of a donor who is unrelated and has not given an invitation to ask. 2 Effort: One approaches the weavers and gets them to improve the cloth in any of the seven ways mentioned in the rule. 3 Result: One obtains the cloth	Whether or not a gift is offered to the weaver, the offences under this rule are still the same. (Some have objected that it should be all right for the bhikkhu to pay in full for the improvements in the robe, but remember that to do so would be an insult to the donors.)				https://suttacentral.net/pli-tv-bu-vb-np?view=normal
47.0	BU-NP28	Vin.3.1–3.40	Monks	BNI-NP29	Accekacīvara	Robe in Urgency	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Bowl	Pattavagga	Requisites	Robes	Easy to support	Laity	Dasāhānāgataṁ kattikatemāsikapuṇṇamaṁ bhikkhuno paneva accekacīvaraṁ uppajjeyya, accekaṁ maññamānena bhikkhunā paṭiggahetabbaṁ, paṭiggahetvā yāva cīvarakālasamayaṁ nikkhipitabbaṁ. Tato ce uttari nikkhipeyya, nissaggiyaṁ pācittiyan	When there are ten days left to the Kattika full moon that ends the first rainy-season residence and haste-cloth is given to a monk, he may receive it if he regards it as urgent. He may then store it until the end of the robe season. If he stores it beyond that, he commits an offense entailing relinquishment and confession	If, within the season, it is allotted, assigned, bestowed, lost, destroyed, burnt, if they tear it (from him), if they take it on trust; if he is mad, if he is the first wrong-doer	1 Object: Robe-cloth offered in urgency is any piece of the six allowable kinds of robe-cloth, measuring at least four by eight fingerbreadths. The does not want to wait until the robe season to make an offering. 2 effort—one keeps it past the end of the robe season	The third-month Kattika full moon is the first full moon in October. This is the final day of the first Rains-residence, and the day before the beginning of the robe season. donor offers robe-material to a particular monk before the end of the Rains-Retreat, then it may be accepted by him, but in no circumstances does this count as an acceka-cīvara. An acceka-cīvara ia a Rains-Retreat gift given to the Sangha at a monastery within ten days of the end of the Rains-Retreat	Idaṁ me bhante acceka-cīvaraṁ cīvara-kāla-samayaṁ atikkāmitaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe-cloth-offered-in-urgency of mine, venerable sir, kept beyond the robe season, is to be forfeited. I forfeit it to you.”		Bu Np 1, Pc 32-33, 46, Bi Pc 29	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
